127.0.0.1, 2018-08-03 11:40:22, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.113000
127.0.0.1, 2018-08-03 11:40:22, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:40:22, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:40:22, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:40:22, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-03 11:58:53, GET, /admin/default/site, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-08-03 11:58:53, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/default/index, HTTP/1.1, 200, 0.126000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/images/facebook.png, HTTP/1.1, 200, 0.001000
